Groupe;Numéro;Libellé groupe;Sexe;Boursier des lycées (code);Boursier des lycées;Boursier (Code);Boursier;Type établissement;Type établissement (Code);UAI établissement;Libellé établissement;Commune établissement;Département établissement;Pays établissement;Pays établissement (Code);Série/Domaine/Filière;Spécialité/Mention/Voie;Spécialité (Code);Série diplôme;Série diplôme (Code);Dominante diplôme (Code);Dominante diplôme;Spécialité diplôme;Spécialité diplôme (Code);Date de validation;Candidature validée (O/N);Candidature validée (Code)
14119;1050508;Bac ES;F;0;Non;0;Non boursier;;;;;;;;;;;;Economique et social;ES;;;Sciences sociales et politiques;353;31/03/2018;Oui;1
14084;1022104;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Sciences - technologies - santé;Sciences pour l'ingénieur;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;03/03/2018;Oui;1
14084;1120176;Bac S;M;0;Non;0;Non boursier;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Sciences - technologies - santé;PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes);;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;31/03/2018;Oui;1
14084;1120242;Bac S;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0860856N;Université de Poitiers;Poitiers;86;France;99100;Licence - Sciences humaines et sociales;Histoire de l'art et archéologie;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;10/03/2018;Oui;1
14119;1140660;Bac ES;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0632035V;Université Clermont Auvergne;Clermont-Ferrand;63;France;99100;Licence - Sciences humaines et sociales;Sociologie;;Economique et social;ES;;;Mathématiques;11;22/03/2018;Oui;1
14084;1093975;Bac S;M;0;Non;0;Non boursier;Université;4;0311382J;Université Toulouse 1 Capitole;Toulouse;31;France;99100;Licence - Droit-économie-gestion;Droit;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;31/03/2018;Oui;1
14114;1093981;Bac STI2D;M;0;Non;0;Non boursier;I.U.T;3;0560861G;I.U.T de Vannes;Vannes;56;France;99100;DUT - Production;Informatique;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Système informatique et numérique;340;29/03/2018;Oui;1
14084;1123011;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;I.U.T;3;0870125N;I.U.T du Limousin - site de Limoges;Limoges;87;France;99100;DUT - Production;Informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;31/03/2018;Oui;1
60249;1123091;Bac Pro;M;0;Non;0;Non boursier;;;;;;;;;;;;Professionnelle;P;;;Electrotechnique, énergie, équipements communicants;186;30/03/2018;Oui;1
101103;1198326;Bac STMG;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0811293R;Institut national universitaire Champollion;Albi;81;France;99100;Licence - Sciences humaines et sociales;Géographie et aménagement;;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;31/03/2018;Oui;1
14119;1104458;Bac ES;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0171463Y;Université de La Rochelle;La Rochelle;17;France;99100;Licence - Droit-économie-gestion;Gestion;;Economique et social;ES;;;Sciences sociales et politiques;353;30/03/2018;Oui;1
14084;1104670;Bac S;M;0;Non;0;Non boursier;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Sciences humaines et sociales;Mathématiques et informatique appliquées aux sciences humaines et sociales;;Scientifique;S;2;Sciences de l'ingénieur;Mathématiques;11;22/03/2018;Oui;1
14084;1064562;Bac S;F;0;Non;0;Non boursier;;;;;;;;;;;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;16/03/2018;Oui;1
101103;1064708;Bac STMG;F;0;Non;2;Boursier de l'enseignement supérieur;I.U.T;3;0641478J;I.U.T. de Bayonne;Anglet;64;France;99100;DUT - Production;Informatique;;Sciences et Technologies du Management et de la Gestion;STMG;;;Mercatique;206;30/03/2018;Oui;1
14084;1107549;Bac S;F;0;Non;2;Boursier de l'enseignement supérieur;Ecole;11;0631287G;Ecole Nationale Supérieure d'Architecture de Clermont-Ferrand;Clermont-Ferrand;63;France;99100;Premiere année en ecole d'architecture option double cursus architecte/ingenieur;;;Scientifique;S;2;Sciences de l'ingénieur;Physique-chimie;32;30/03/2018;Oui;1
14084;1147286;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0333298F;Université de Bordeaux - Bordeaux Métropole;Bordeaux;33;France;99100;Licence - Sciences - technologies - santé;Mathématiques, physique, chimie, informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;31/03/2018;Oui;1
14119;1076569;Bac ES;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0333298F;Université de Bordeaux - Bordeaux Métropole;Bordeaux;33;France;99100;Licence - Droit-économie-gestion;Economie et gestion;;Economique et social;ES;;;Sciences sociales et politiques;353;07/03/2018;Oui;1
14084;1189516;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0311383K;Université Toulouse 2 Jean Jaurès;Toulouse;31;France;99100;Licence - Sciences humaines et sociales;Mathématiques et informatique appliquées aux sciences humaines et sociales;;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;;Non;0
1539;1189896;Autres candidats;F;0;Non;0;Non boursier;;;;;;;;;;;;Sciences et technologies de la gestion;STG;;;Communication et gestion des ressources humaines;210;31/03/2018;Oui;1
14118;1137929;Bac L;F;0;Non;0;Non boursier;Université;4;0860856N;Université de Poitiers;Poitiers;86;France;99100;Licence - Arts-lettres-langues;Arts du spectacle;;Littéraire;L;;;Langue renforcée;23;30/03/2018;Oui;1
14084;1137958;Bac S;M;0;Non;0;Non boursier;I.U.T;3;0870125N;I.U.T du Limousin - site de Limoges;Limoges;87;France;99100;DUT - Production;Informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;25/03/2018;Oui;1
101103;1158367;Bac STMG;M;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Webmaster et métiers de l'internet;;;Sciences et Technologies du Management et de la Gestion;STMG;;;Gestion et Finance;536;30/03/2018;Oui;1
14084;1158544;Bac S;M;0;Non;2;Boursier de l'enseignement supérieur;I.U.T;3;0870125N;I.U.T du Limousin - site de Limoges;Limoges;87;France;99100;DUT - Production;Informatique;;Scientifique;S;1;Sciences de la Vie et de la Terre;Informatique et Sciences du numérique;350;25/03/2018;Oui;1
14084;1066469;Bac S;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0870669E;Université de Limoges;Limoges;87;France;99100;Licence - Sciences - technologies - santé;PACES - Médecine, Pharmacie, Odontologie (dentiste), Maïeutique (sage-femmes);;Scientifique;S;1;Sciences de la Vie et de la Terre;Physique-chimie;32;30/03/2018;Oui;1
14118;1080847;Bac L;M;0;Non;0;Non boursier;;;;;;;;;;;;Littéraire;L;;;Langue renforcée;23;29/03/2018;Oui;1
14084;1170808;Bac S;F;0;Non;0;Non boursier;;;;;;;;;;;;Scientifique;S;1;Sciences de la Vie et de la Terre;Sciences de la vie et de la terre;34;31/03/2018;Oui;1
14114;1059386;Bac STI2D;M;0;Non;0;Non boursier;Lycée à classe postbac;1;0630021F;Lycée La Fayette;Clermont-Ferrand;63;France;99100;Classe préparatoire scientifique;TSI;;Sciences et Technologies de l'Industrie et du Développement Durable;STI2D;;;Architecture et construction;337;31/03/2018;Oui;1
14118;1200144;Bac L;F;0;Non;2;Boursier de l'enseignement supérieur;Université;4;0370800U;Universite François-Rabelais - Tours;Tours;37;France;99100;;;;Littéraire;L;;;Arts plastiques;25;29/03/2018;Oui;1
14119;1006904;Bac ES;M;0;Non;0;Non boursier;;;;;;;;;;;;Economique et social;ES;;;Economie approfondie;352;29/03/2018;Oui;1
